TEFF_early.vs.BL	TEFF_late.vs.BL	TREG_early.vs.BL	TREG_late.vs.BL
AACS	0	0	1	0
AARS1	0	0	1	0
AARS2	0	0	1	0
AASS	0	0	0	1
ABCA1	0	0	1	0
ABCA7	0	0	1	0
ABCB10	0	0	1	0
ABCB9	0	0	1	0
ABCC1	0	0	0	1
ABCC3	0	0	1	0
ABCC4	0	0	0	1
ABCC5	0	0	1	0
ABCD4	0	0	1	1
ABHD14B	0	0	1	0
ABHD17A	0	0	1	0
ABHD18	0	0	0	1
ABHD2	0	0	1	0
ABHD4	0	0	1	0
ABITRAM	0	0	0	1
ABL2	0	0	1	0
ABRACL	0	0	1	0
AC004890.2	0	0	1	0
AC005041.1	0	0	1	0
AC006001.3	0	0	1	0
AC007068.1	0	0	1	0
AC007326.4	0	0	1	0
AC009093.3	0	0	1	0
AC010186.2	0	0	1	0
AC010422.6	0	1	0	1
AC010547.4	0	0	1	0
AC015813.2	0	0	0	1
AC040162.1	0	0	0	1
AC055839.2	0	0	1	0
AC084017.1	0	0	1	0
AC104452.1	0	0	1	0
AC106865.1	0	0	1	0
AC135983.3	0	0	1	0
AC138409.1	0	0	1	0
AC138894.1	0	0	1	0
AC139494.1	0	1	0	0
AC241640.1	1	0	1	0
AC244489.1	0	0	1	0
AC256236.2	0	0	0	1
ACAD11	0	0	1	0
ACAD9	0	0	1	0
ACAP1	0	0	1	0
ACAT2	0	0	0	1
ACBD5	0	0	0	1
ACD	1	0	0	0
ACER3	0	0	1	0
ACIN1	1	0	0	0
ACOT2	0	0	1	0
ACOT7	0	0	0	1
ACOT8	0	0	1	0
ACP5	0	0	1	0
ACP6	0	0	1	0
ACSL1	0	0	1	0
ACSL3	0	0	0	1
ACSS1	1	0	0	0
ACTB	0	0	0	1
ACTG1	0	0	1	1
ACTN1	0	0	1	0
ACTN4	0	0	0	1
ACTR1B	0	0	1	0
ACTR3	0	0	0	1
ACTR8	0	0	1	0
ACVR2A	0	0	1	0
ACYP2	0	0	1	0
ADA	0	0	1	0
ADA2	0	0	1	1
ADAM17	0	0	1	0
ADAM19	0	0	1	0
ADAM28	0	0	1	0
ADAM8	1	0	0	0
ADAM9	0	0	1	0
ADAP1	0	0	1	0
ADAT2	0	0	1	0
ADD1	0	0	1	0
ADD3	0	0	1	0
ADGRE2	0	0	1	0
ADGRE5	0	0	1	1
ADHFE1	0	0	1	0
ADI1	0	0	1	0
ADM	0	0	1	0
ADNP	0	1	0	0
ADORA2A	0	0	1	0
ADRB2	0	0	1	0
AFF1	0	0	0	1
AFF3	0	1	0	0
AGAP2	0	0	1	0
AGAP3	0	0	1	0
AGGF1	0	1	1	0
AGK	0	0	1	0
AGL	0	0	1	0
AGO1	1	0	0	0
AGO4	0	0	1	0
AGPAT2	0	0	1	0
AGPAT4	0	0	1	1
AGPAT5	0	0	1	0
AHR	0	0	1	1
AHSA2P	1	0	1	0
AIDA	0	0	1	0
AIF1	0	0	1	0
AIMP1	0	0	1	0
AK1	1	0	1	1
AK3	0	0	1	0
AK9	1	0	0	0
AKAP13	0	0	0	1
AKAP5	1	0	0	0
AKAP8L	0	0	1	0
AKIP1	0	0	1	0
AKNA	1	0	0	0
AKR1A1	0	0	1	0
AKT1	0	0	1	0
AKTIP	1	0	0	0
AL121845.2	0	0	1	0
AL133352.1	0	0	1	0
AL157935.3	0	0	1	0
AL356235.1	0	0	1	0
ALCAM	0	0	1	0
ALDH2	0	0	1	1
ALDH3A2	0	0	1	0
ALDH3B1	0	0	1	0
ALDH9A1	0	0	1	0
ALDOC	0	0	1	0
ALKBH7	0	0	1	0
ALOX5	0	0	1	0
ALS2CL	0	0	1	0
AMDHD2	0	0	1	0
AMMECR1	0	0	1	0
AMMECR1L	0	1	0	1
AMPD2	0	0	1	0
AMPD3	0	0	1	0
ANK1	0	0	1	0
ANKHD1-EIF4EBP3	0	0	1	0
ANKIB1	0	0	1	0
ANKRA2	0	0	1	1
ANKRD39	0	0	1	0
ANKRD42	0	0	1	0
ANKRD49	0	0	0	1
ANKRD52	1	0	0	0
ANKRD54	0	0	1	0
ANKRD9	0	0	1	0
ANKS3	0	0	1	0
ANKS6	0	1	0	0
ANO10	0	0	1	0
ANO9	0	0	1	0
ANPEP	0	0	1	0
ANXA1	0	0	1	0
ANXA11	0	0	1	0
ANXA2	0	0	1	1
ANXA5	0	0	1	0
AOAH	0	0	1	0
AP002387.1	0	0	1	0
AP006222.1	0	0	1	0
AP1B1	0	0	1	1
AP1G1	0	0	1	0
AP1G2	1	0	1	0
AP1S2	0	0	1	0
AP1S3	0	0	1	0
AP2B1	1	1	0	0
AP2M1	0	0	0	1
AP3M2	0	0	1	0
AP3S2	0	0	1	0
AP4E1	0	0	0	1
AP5B1	0	0	1	0
AP5M1	0	0	1	0
AP5S1	0	1	0	1
APBA3	0	0	1	0
APBB1IP	0	0	1	0
APH1A	0	0	0	1
APOBEC3A	0	0	1	0
APOBEC3C	0	0	1	0
APOL3	0	0	1	0
APOL6	0	1	0	1
AQP3	0	0	1	0
AQP9	0	0	1	0
ARAP2	0	0	1	0
ARF1	0	0	0	1
ARF3	0	0	0	1
ARFGAP3	0	0	1	0
ARGLU1	0	0	1	0
ARHGAP19	1	0	0	0
ARHGAP25	0	0	1	0
ARHGAP26	0	0	1	0
ARHGAP31	0	0	1	1
ARHGAP4	1	0	1	0
ARHGAP9	0	0	1	0
ARHGDIB	0	0	1	0
ARHGEF1	0	0	1	0
ARHGEF11	0	0	1	0
ARHGEF2	0	0	1	0
ARHGEF3	0	0	1	0
ARHGEF6	0	0	1	0
ARHGEF7	0	0	1	0
ARID5B	0	0	1	0
ARL2BP	1	0	0	0
ARL4C	0	0	1	0
ARL6IP5	0	0	1	0
ARL8B	0	0	1	0
ARMC5	0	0	1	0
ARMCX5	1	0	0	0
ARMCX6	1	1	1	0
ARPC4-TTLL3	0	0	1	0
ARPC5L	0	0	1	0
ARSB	0	0	1	0
ASAH1	0	0	1	0
ASAP1	0	0	0	1
ASB6	0	0	1	0
ASCC2	0	0	1	0
ASF1A	0	0	1	0
ASH1L	0	0	0	1
ASL	1	0	1	0
ASNS	0	0	1	0
ASPH	0	0	1	0
ATAD1	0	0	1	0
ATAD5	0	0	1	0
ATE1	0	0	1	0
ATF2	1	0	0	0
ATF3	0	0	1	0
ATG12	0	0	1	0
ATG2A	0	1	0	0
ATG7	0	0	1	0
ATL2	0	0	1	0
ATM	0	0	1	1
ATP11C	0	1	0	0
ATP13A1	0	0	1	0
ATP13A3	0	0	1	0
ATP2A3	0	0	1	0
ATP2B1	0	0	1	0
ATP2C1	0	0	0	1
ATP5F1A	0	0	1	0
ATP5IF1	0	0	1	0
ATP5MC2	0	0	1	0
ATP5MF	0	1	0	0
ATP5MG	0	0	1	0
ATP6V0B	0	0	1	0
ATP6V0D1	0	0	1	0
ATP6V0E2	0	0	1	0
ATP6V1B2	0	0	1	0
ATP6V1C1	0	0	0	1
ATP6V1E1	0	0	1	0
ATP6V1G1	0	0	1	0
ATP6V1H	0	0	1	0
ATP8B2	0	0	1	0
ATXN7L1	0	0	1	0
