"obs.x"	"obs.y"	"obs.tot"	"statistic"	"pvalue"	"alternative"	"location.null"	"exact"	"corrected"	"log2FC"
"A1BG"	71	67	138	2533	0.511791537630841	"two.sided"	0	FALSE	TRUE	0.0119447524623065
"AAAS"	71	67	138	1637	0.00159559274961927	"two.sided"	0	FALSE	TRUE	-0.0312071805869095
"AACS"	71	67	138	2770	0.0957757662385015	"two.sided"	0	FALSE	TRUE	0.00468046193756378
"AAGAB"	71	67	138	1409	3.65920990649351e-05	"two.sided"	0	FALSE	TRUE	-0.0325362711910855
"AAK1"	71	67	138	935	7.88230329874426e-10	"two.sided"	0	FALSE	TRUE	-0.0698684250464298
"AAMDC"	71	67	138	1772	0.00983429551756167	"two.sided"	0	FALSE	TRUE	-0.031021172300088
"AAMP"	71	67	138	2351	0.908427789989259	"two.sided"	0	FALSE	TRUE	0.0046228256134654
"AAR2"	71	67	138	2997	0.00847034658121971	"two.sided"	0	FALSE	TRUE	0.0245868943339641
"AARS1"	71	67	138	2376	0.99320199546572	"two.sided"	0	FALSE	TRUE	0.00297395116844162
"AARS2"	71	67	138	2990	0.00924383075656774	"two.sided"	0	FALSE	TRUE	0.0180934255880809
"AARSD1"	71	67	138	3418	9.59023505171882e-06	"two.sided"	0	FALSE	TRUE	0.0394996283191715
"AASDH"	71	67	138	1580	0.000675004981947654	"two.sided"	0	FALSE	TRUE	-0.041078064818578
"AASDHPPT"	71	67	138	1634	0.00152705957924419	"two.sided"	0	FALSE	TRUE	-0.0275148397854879
"AASS"	71	67	138	1916	0.0490505580802301	"two.sided"	0	FALSE	TRUE	-0.0212359768985557
"AATF"	71	67	138	1230	1.00549825682933e-06	"two.sided"	0	FALSE	TRUE	-0.0324994359036474
"ABAT"	71	67	138	1713	0.00461211801381459	"two.sided"	0	FALSE	TRUE	-0.0251661454099653
"ABCA1"	71	67	138	2188	0.418277548992853	"two.sided"	0	FALSE	TRUE	-0.0305818237860115
"ABCA2"	71	67	138	2014	0.120981946654283	"two.sided"	0	FALSE	TRUE	-0.0237520901737677
"ABCA5"	71	67	138	2364	0.9524415887643	"two.sided"	0	FALSE	TRUE	-0.00186387461732129
"ABCA7"	71	67	138	3335	4.64860188879593e-05	"two.sided"	0	FALSE	TRUE	0.0395674738290605
"ABCB1"	71	67	138	4332	8.8026401104545e-17	"two.sided"	0	FALSE	TRUE	0.326852333139269
"ABCB10"	71	67	138	729	2.14290198307129e-12	"two.sided"	0	FALSE	TRUE	-0.0865416400563883
"ABCB11"	71	67	138	2562	0.435630682531241	"two.sided"	0	FALSE	TRUE	0.00670446702536172
"ABCB7"	71	67	138	1893	0.0388158729481899	"two.sided"	0	FALSE	TRUE	-0.0208158286814552
"ABCB8"	71	67	138	2538	0.498183284509468	"two.sided"	0	FALSE	TRUE	0.00567827134099068
"ABCB9"	71	67	138	3129	0.00139805720499896	"two.sided"	0	FALSE	TRUE	0.0323927348058515
"ABCC1"	71	67	138	1747	0.00718590929008944	"two.sided"	0	FALSE	TRUE	-0.0301591947243345
"ABCC10"	71	67	138	1606	0.00100625011491105	"two.sided"	0	FALSE	TRUE	-0.0239873694109764
"ABCC3"	71	67	138	2819	0.0608711240212537	"two.sided"	0	FALSE	TRUE	0.0344820392177346
"ABCC4"	71	67	138	2492	0.63024089713791	"two.sided"	0	FALSE	TRUE	0.00342424936246624
"ABCC5"	71	67	138	1997	0.104570949164143	"two.sided"	0	FALSE	TRUE	-0.0190375183116287
"ABCC9"	71	67	138	1576	0.000634140895063181	"two.sided"	0	FALSE	TRUE	-0.033601915035326
"ABCD2"	71	67	138	2117	0.266190589947342	"two.sided"	0	FALSE	TRUE	-0.0166250954568341
"ABCD3"	71	67	138	3291	0.000102252814622626	"two.sided"	0	FALSE	TRUE	0.0305340204732637
"ABCD4"	71	67	138	1564	0.000524940231167002	"two.sided"	0	FALSE	TRUE	-0.0218619880874853
"ABCE1"	71	67	138	3708	1.49940206726436e-08	"two.sided"	0	FALSE	TRUE	0.0526613641154318
"ABCF1"	71	67	138	2376	0.99320199546572	"two.sided"	0	FALSE	TRUE	-0.00415178800906242
"ABCF2"	71	67	138	2646	0.255355037473862	"two.sided"	0	FALSE	TRUE	0.0209023861920933
"ABCF3"	71	67	138	3094	0.00231946841406807	"two.sided"	0	FALSE	TRUE	0.0300742576565538
"ABCG1"	71	67	138	2708	0.161045858358227	"two.sided"	0	FALSE	TRUE	0.0186246906287549
"ABHD10"	71	67	138	2071	0.190927168392008	"two.sided"	0	FALSE	TRUE	-0.00826278727329096
"ABHD11"	71	67	138	1297	4.12198894277668e-06	"two.sided"	0	FALSE	TRUE	-0.0408437468780354
"ABHD12"	71	67	138	1376	1.96713098267904e-05	"two.sided"	0	FALSE	TRUE	-0.0273431636937794
"ABHD13"	71	67	138	2206	0.463721968967561	"two.sided"	0	FALSE	TRUE	0.00103258989414726
"ABHD14A"	71	67	138	2112	0.257139347223366	"two.sided"	0	FALSE	TRUE	-0.0175658792571007
"ABHD14B"	71	67	138	3131	0.00135734100498772	"two.sided"	0	FALSE	TRUE	0.0521666999111356
"ABHD15"	71	67	138	2493	0.627216841965649	"two.sided"	0	FALSE	TRUE	0.00890608332281358
"ABHD16A"	71	67	138	1746	0.00709475300408057	"two.sided"	0	FALSE	TRUE	-0.0180633215300548
"ABHD17A"	71	67	138	1924	0.0531043512983403	"two.sided"	0	FALSE	TRUE	-0.0094873195031485
"ABHD17B"	71	67	138	1579	0.000664565507642396	"two.sided"	0	FALSE	TRUE	-0.0234525315026121
"ABHD18"	71	67	138	1589	0.000776061416580457	"two.sided"	0	FALSE	TRUE	-0.0297528093307475
"ABHD2"	71	67	138	1718	0.00492887728844862	"two.sided"	0	FALSE	TRUE	-0.0349899790267602
"ABHD3"	71	67	138	1125	9.40465972273311e-08	"two.sided"	0	FALSE	TRUE	-0.0411613694217295
"ABHD5"	71	67	138	1728	0.00562208802557772	"two.sided"	0	FALSE	TRUE	-0.0254436030973893
"ABI1"	71	67	138	804	2.00925817758379e-11	"two.sided"	0	FALSE	TRUE	-0.0422835005150668
"ABI2"	71	67	138	3396	1.47432153536258e-05	"two.sided"	0	FALSE	TRUE	0.0484251442259208
"ABI3"	71	67	138	3495	1.9919710553254e-06	"two.sided"	0	FALSE	TRUE	0.0946341038252064
"ABITRAM"	71	67	138	3103	0.0020403856248768	"two.sided"	0	FALSE	TRUE	0.0387892888679037
"ABL1"	71	67	138	3757	4.34809806091383e-09	"two.sided"	0	FALSE	TRUE	0.0720045566616404
"ABL2"	71	67	138	2572	0.410966866847357	"two.sided"	0	FALSE	TRUE	0.00366678996972584
"ABLIM1"	71	67	138	4223	3.9796614178971e-15	"two.sided"	0	FALSE	TRUE	0.107302426798583
"ABR"	71	67	138	1676	0.00278458636814242	"two.sided"	0	FALSE	TRUE	-0.041782963072205
"ABRACL"	71	67	138	3980	9.08058946203816e-12	"two.sided"	0	FALSE	TRUE	0.0975268201120267
"ABRAXAS1"	71	67	138	3425	8.34904522607049e-06	"two.sided"	0	FALSE	TRUE	0.0367664920967529
"ABRAXAS2"	71	67	138	1618	0.0012051749061858	"two.sided"	0	FALSE	TRUE	-0.0324893992660381
"ABT1"	71	67	138	2883	0.0317873236303374	"two.sided"	0	FALSE	TRUE	0.0202632465881283
"ABTB1"	71	67	138	709	1.15996394753183e-12	"two.sided"	0	FALSE	TRUE	-0.0546969338788041
"AC004057.1"	71	67	138	2789	0.0807018270351965	"two.sided"	0	FALSE	TRUE	0.0256678290639698
"AC004890.2"	71	67	138	2464	0.717272912409269	"two.sided"	0	FALSE	TRUE	0.00340950705272307
"AC005041.1"	71	67	138	2582	0.387151846006758	"two.sided"	0	FALSE	TRUE	0.00615555451844888
"AC006001.3"	71	67	138	2469	0.701418590557851	"two.sided"	0	FALSE	TRUE	0.000498406801605858
"AC006978.1"	71	67	138	375	1.42701246885769e-17	"two.sided"	0	FALSE	TRUE	-0.141521366385758
"AC007068.1"	71	67	138	2315	0.788403480413579	"two.sided"	0	FALSE	TRUE	0.00579507518087573
"AC007326.4"	71	67	138	2644	0.258932291393533	"two.sided"	0	FALSE	TRUE	0.00790531797116326
"AC007546.3"	71	67	138	2716	0.151103867350021	"two.sided"	0	FALSE	TRUE	0.0160605510482208
"AC008012.1"	71	67	138	1809	0.0153514788901674	"two.sided"	0	FALSE	TRUE	-0.0268203605934369
"AC008695.1"	71	67	138	2688	0.188052279948714	"two.sided"	0	FALSE	TRUE	0.0348442729546057
"AC008878.3"	71	67	138	2993	0.00890493320255933	"two.sided"	0	FALSE	TRUE	0.0602672163562344
"AC009053.2"	71	67	138	2445	0.778584183409069	"two.sided"	0	FALSE	TRUE	0.00221533040753875
"AC009093.3"	71	67	138	1585	0.000729527547182177	"two.sided"	0	FALSE	TRUE	-0.047702243089163
"AC009093.9"	71	67	138	535	4.11722365043928e-15	"two.sided"	0	FALSE	TRUE	-0.118452197748727
"AC009533.1"	71	67	138	1933	0.0579956549962489	"two.sided"	0	FALSE	TRUE	-0.0318210427478683
"AC010186.2"	71	67	138	2672	0.211957730006515	"two.sided"	0	FALSE	TRUE	0.0191401460611442
"AC010422.6"	71	67	138	1996	0.103663546390804	"two.sided"	0	FALSE	TRUE	-0.0121597626317991
"AC010422.8"	71	67	138	3185	0.000595587906386819	"two.sided"	0	FALSE	TRUE	0.0199270120666391
"AC010547.4"	71	67	138	1948	0.0669767926739813	"two.sided"	0	FALSE	TRUE	-0.0226010195130765
"AC010970.1"	71	67	138	2901	0.0261648592641622	"two.sided"	0	FALSE	TRUE	0.0140889414099926
"AC011295.1"	71	67	138	3340.5	4.19950607317677e-05	"two.sided"	0	FALSE	TRUE	0.0696016130596318
"AC011939.1"	71	67	138	2026	0.133732475988296	"two.sided"	0	FALSE	TRUE	-0.0257435900737808
"AC012435.2"	71	67	138	1500	0.000183770986222837	"two.sided"	0	FALSE	TRUE	-0.0298855344624135
"AC013394.1"	71	67	138	1996	0.103663546390804	"two.sided"	0	FALSE	TRUE	-0.00854675588967315
"AC015802.6"	71	67	138	4227	3.4732427502582e-15	"two.sided"	0	FALSE	TRUE	0.100089760278471
"AC015813.2"	71	67	138	2295	0.723649364019651	"two.sided"	0	FALSE	TRUE	-0.00485819104697638
"AC015911.10"	71	67	138	2133	0.296616370834484	"two.sided"	0	FALSE	TRUE	-0.0166499584667267
"AC022400.7"	71	67	138	3452	4.85276777711434e-06	"two.sided"	0	FALSE	TRUE	0.0591454254558094
"AC026316.4"	71	67	138	3639	7.97527530060216e-08	"two.sided"	0	FALSE	TRUE	0.0733371254261148
"AC026412.1"	71	67	138	2750	0.113995690810366	"two.sided"	0	FALSE	TRUE	0.0232194979069105
"AC026464.4"	71	67	138	1967	0.0799651327945614	"two.sided"	0	FALSE	TRUE	-0.00395543031681726
"AC040162.1"	71	67	138	2712	0.156014784332342	"two.sided"	0	FALSE	TRUE	0.0125400893159535
"AC055839.2"	71	67	138	2694	0.179621359761014	"two.sided"	0	FALSE	TRUE	0.0191709029256595
"AC068547.1"	71	67	138	1668	0.00248921755167888	"two.sided"	0	FALSE	TRUE	-0.0180963456470337
"AC073111.4"	71	67	138	2344	0.88483534383488	"two.sided"	0	FALSE	TRUE	0.00350313595903908
"AC084017.1"	71	67	138	2263	0.624199036764684	"two.sided"	0	FALSE	TRUE	-0.0111260628674045
"AC087721.2"	71	67	138	929	6.7074006759116e-10	"two.sided"	0	FALSE	TRUE	-0.0596379899214543
