"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"CD8+ Tcells"	"22/602"	0.000200062898167446	0.0120037738900468	0	0	2.50804199976136	21.3606896119274	"TTC14;ATF2;TP53I13;KLRB1;TRRAP;HEXA;FLT3LG;VPS13B;PCSK7;IRAK4;SMARCA2;TSPAN32;ARHGAP4;IKBKB;AP1G2;ZNF83;TRAF5;TUBGCP6;ZNF224;OGT;GBP1;PPIL4"
"CD4+ Tcells"	"18/533"	0.00182001614404646	0.0422281529314464	0	0	2.28723284403062	14.4299459506416	"TTC14;CD84;FLT3LG;IRAK4;SMARCA2;ARHGAP4;SGSH;IKBKB;STAG3;AP1G2;TRAF5;CD2BP2;UBXN7;TUBGCP6;TRIB2;OGT;GBP1;PRR14"
"CD19+ BCells(neg. sel.)"	"15/412"	0.00211140764657232	0.0422281529314464	0	0	2.46255701545374	15.1703372792941	"IGHM;CIITA;SEMA4B;EAF2;BAZ2A;ZDHHC21;OSBPL10;SEL1L3;IGHG3;P2RX5;CCNG2;TRAF5;MS4A1;CD22;ITPA"
"Lymphoma burkitts(Raji)"	"13/355"	0.00389680973383909	0.0584521460075863	0	0	2.4678264453079	13.6905067759384	"SRRM2;IGHM;ZBTB17;FHOD1;DNHD1;BAZ2A;TIMM44;PLA2G6;CCNB1IP1;P2RX5;CAMTA1;HLA-DOA;CD22"
"Tonsil"	"3/26"	0.00742904044394061	0.0891484853272873	0	0	8.328345567476	40.8285363063199	"IL1RN;IGKC;MS4A1"
"CD105+ Endothelial"	"12/370"	0.0135026321541465	0.135026321541465	0	0	2.16711197473889	9.32913670966177	"SUZ12;NOP14;PIGQ;VDAC3;ARHGAP19;DNAJC9;TAF5;LSM5;ACSS1;PPIL4;ZNF256;BLVRA"
"Lymphnode"	"3/37"	0.0195919367080338	0.167930886068861	0	0	5.63072956455309	22.1436164914819	"IGHM;IGKC;IGKV3-20"
"BDCA4+ DendriticCells"	"14/495"	0.023483284443638	0.176124633327285	0	0	1.88238588238588	7.06170741068171	"IGHM;TP53I13;SLC30A5;EAF2;NADSYN1;SEL1L3;IKBKB;IGHG3;IGKC;MICAL1;NCKAP1L;HLA-DOA;OGT;IL18R1"
"SubthalamicNucleus"	"4/77"	0.0320251854303824	0.213501236202549	0	0	3.50113783409933	12.0482297954835	"USP48;SNPH;DVL3;MAP2K5"
"CD34+"	"16/645"	0.0456068547091088	0.257674740622272	0	0	1.64350192665248	5.07463638125184	"ATF2;NUP205;CPSF7;NOP14;USP48;DHX9;ATXN7L3B;LSM5;FUT4;HSH2D;HMGXB4;BAG5;ZNF84;CAMTA1;DNAJC9;ACSS1"
"CD56+ NKCells"	"18/752"	0.0472403691140833	0.257674740622272	0	0	1.58647273809413	4.8427183040021	"TLE1;AKNA;KLRB1;MATK;VPS13B;ATXN7L3B;UNC13D;IFFO1;TTC38;TSPAN32;OASL;BAG5;CD2BP2;NCKAP1L;ADAM8;HEATR6;ITPA;SNTB2"
"PrefrontalCortex"	"12/521"	0.114810239053306	0.574051195266532	0	0	1.51231018917019	3.27335700495846	"RERE;ATF2;PPP3CA;SNPH;RAPGEF2;PIK3CB;RANBP6;SLC25A12;PKD1;CAMK2G;RAB3GAP1;JAM3"
"CD71+ EarlyErythroid"	"12/553"	0.155271582023605	0.716638070878177	0	0	1.42048355887462	2.64576363239589	"CENPT;IFT52;PIGQ;HAT1;ARHGAP19;RAPGEF2;HTRA2;DNAJC9;AP2B1;KCNN4;CLCN3;RNF40"
"CD33+ Myeloid"	"14/679"	0.174316931686228	0.747072564369548	0	0	1.3485025695552	2.35567242507797	"KCNK6;CD84;USP48;CHKB;TYK2;TCIRG1;IFFO1;FUT4;OSBPL10;SGSH;KLF7;IL1B;ZCCHC4;BLVRA"
"TestisLeydigCell"	"3/107"	0.232315521623652	0.889626188286495	0	0	1.83425949050949	2.67739305135839	"DALRD3;SLC30A5;YPEL1"
"Leukemia promyelocytic-HL-60"	"2/62"	0.250894941379771	0.889626188286495	0	0	2.11747572815534	2.92787813028923	"SLC4A7;USP48"
"pineal night"	"13/674"	0.25206075334784	0.889626188286495	0	0	1.2557950634081	1.73059251051043	"SETD6;COX17;ZDHHC21;SCAMP1;CLCN3;ZBTB4;NCALD;NPEPL1;ZNF83;ZNF326;SIK2;PLCH2;RAB3GAP1"
"FetalThyroid"	"2/66"	0.273989595640502	0.901131605765852	0	0	1.98472896440129	2.5695594133357	"SRRM2;TULP3"
"pineal day"	"13/694"	0.285358341825853	0.901131605765852	0	0	1.21763297164651	1.52692337333377	"COX17;ZDHHC21;SCAMP1;PLA2G6;RANBP6;CLCN3;ZBTB4;UCKL1;ZNF83;UBXN7;ZNF326;PLCH2;RAB3GAP1"
"Lymphoma burkitts(Daudi)"	"3/139"	0.36740507867223	0.993695362662536	0	0	1.40037719633308	1.40218407924962	"IGHM;PLCG2;E2F5"
"OlfactoryBulb"	"2/83"	0.3708703996539	0.993695362662536	0	0	1.56682248591634	1.55413530454146	"ARHGAP19;VPS13B"
"WholeBlood"	"9/514"	0.406371496295802	0.993695362662536	0	0	1.13209625598321	1.01943855249317	"TMEM185B;CCNG2;IFIT5;ADAM8;MCTP2;GBP1;PNRC1;IFIT2;OASL"
"small intestine"	"4/220"	0.447437446354124	0.993695362662536	0	0	1.17462902642056	0.944658435643958	"IGHG3;IGKC;ARMCX5;IGKV3-20"
"SuperiorCervicalGanglion"	"10/602"	0.461115743195819	0.993695362662536	0	0	1.0717091676394	0.829616708757799	"SLC4A7;MBD5;ARL2BP;FCF1;ZNF614;VPS13B;HLA-DOA;CD22;OSBPL10;RALGPS2"
"721 B lymphoblasts"	"24/1543"	0.53049857567507	0.993695362662536	0	0	1.00029131580698	0.634122681966069	"UNC119B;HELLS;NUP205;ACD;USP48;PSMD14;SPAG5;DHX9;PTGES3;MAK16;ARHGAP19;TIMM44;IFIT3;WARS2;NUP93;HMGXB4;LAS1L;MTG1;HAT1;VDAC3;PLCG2;SLC25A12;GART;PPIL4"
"CD14+ Monocytes"	"6/383"	0.549865376485455	0.993695362662536	0	0	1.00771404965865	0.602695433454006	"CHKB;ERICH1;TCIRG1;NADSYN1;BLVRA;SGSH"
"Leukemialymphoblastic(MOLT-4)"	"2/118"	0.550098059052517	0.993695362662536	0	0	1.09212141502065	0.652715895133986	"NFYA;TRRAP"
"Appendix"	"2/127"	0.590080733217481	0.993695362662536	0	0	1.01302265372168	0.534365312128647	"NCKAP1;SNTB2"
"TrigeminalGanglion"	"3/196"	0.590372344926263	0.993695362662536	0	0	0.983917636767378	0.518526412898031	"IGHG1;SCAMP1;OGT"
"Uterus"	"3/201"	0.60744531141983	0.993695362662536	0	0	0.958825265643447	0.477967807960403	"KCNK6;TLE1;TULP3"
"CerebellumPeduncles"	"2/137"	0.631344486819424	0.993695362662536	0	0	0.937504494786048	0.431161717953068	"LPCAT4;CXXC5"
"SkeletalMuscle"	"6/441"	0.685410629252144	0.993695362662536	0	0	0.870729225551159	0.328906786148154	"ZBTB17;IGHG1;ZNF614;KIR3DX1;MAP2K5;BLVRA"
"Thalamus"	"1/79"	0.710771389094463	0.993695362662536	0	0	0.811042183622829	0.276893398629445	"SLC25A14"
"TestisGermCell"	"4/314"	0.722469034205231	0.993695362662536	0	0	0.814500367762951	0.264778365296692	"DNAJC4;DNHD1;AP2B1;STRN4"
"Wholebrain"	"3/240"	0.723938478263203	0.993695362662536	0	0	0.79944106526385	0.258258528753138	"HSPBP1;CAMK2G;MAP2K5"
"Pancreas"	"1/96"	0.77867795389655	0.993695362662536	0	0	0.665331069609508	0.166437708888274	"IGKC"
"Hypothalamus"	"1/97"	0.782136086745032	0.993695362662536	0	0	0.658366935483871	0.161778222264191	"SLC25A14"
"AtrioventricularNode"	"3/269"	0.791734730920022	0.993695362662536	0	0	0.711222048628064	0.166090887720723	"USP6NL;IGKC;ANKRD52"
"CardiacMyocytes"	"3/273"	0.79990998226869	0.993695362662536	0	0	0.700541125541126	0.156400065433605	"NFYA;THAP9;HLA-DOA"
"Spinalcord"	"1/105"	0.807930743723525	0.993695362662536	0	0	0.607475186104218	0.12956166215764	"PACS2"
"AdrenalCortex"	"1/106"	0.810933158282938	0.993695362662536	0	0	0.601658986175115	0.126089461437336	"FOXK2"
"Cerebellum"	"1/108"	0.816798357617488	0.993695362662536	0	0	0.590352728369008	0.119465562681776	"PKD1"
"SmoothMuscle"	"4/363"	0.81890115337332	0.993695362662536	0	0	0.701550633772785	0.140164130044124	"TWSG1;ARL2BP;IL1B;TULP3"
"Tongue"	"1/115"	0.835934428874031	0.993695362662536	0	0	0.553904923599321	0.0992625890712587	"IL1RN"
"retina"	"2/218"	0.855620574389132	0.993695362662536	0	0	0.583513124775261	0.0909861835053807	"RERE;CALCOCO1"
"Kidney"	"1/142"	0.892834315960393	0.993695362662536	0	0	0.447220315717227	0.0506943242591844	"TBC1D13"
"Prostate"	"2/249"	0.901810234304842	0.993695362662536	0	0	0.509466346972734	0.0526539401349832	"CREB3;SNTB2"
"Amygdala"	"3/345"	0.906600597626588	0.993695362662536	0	0	0.551008202323992	0.0540281622501512	"NCKAP1;UFM1;MAP2K5"
"colon"	"2/258"	0.912390584828047	0.993695362662536	0	0	0.491327872168285	0.0450484315573838	"BAG5;LIN7C"
"Liver"	"6/618"	0.921527572969399	0.993695362662536	0	0	0.61321118611379	0.0501132005124643	"NAGLU;CD81;ASL;SCLY;TTC38;SLC25A13"
"BronchialEpithelialCells"	"2/280"	0.933931000597266	0.993695362662536	0	0	0.451933598752066	0.0308908901220501	"KLF7;CCNG2"
"Testis"	"3/384"	0.939850409943613	0.993695362662536	0	0	0.493608753451273	0.0306207992360165	"NUP93;DALRD3;PLA2G6"
"Thyroid"	"3/388"	0.942557740073808	0.993695362662536	0	0	0.488379153314218	0.0288915822322769	"ATF2;UNC119B;MAGT1"
"Lung"	"2/299"	0.948408726235015	0.993695362662536	0	0	0.422607956588539	0.0223854267472669	"ZBTB16;DLL1"
"Heart"	"3/415"	0.958077566226016	0.993695362662536	0	0	0.455735405371328	0.0195175694081201	"FHOD1;AK1;CAMTA1"
"Fetalbrain"	"2/325"	0.963401554457313	0.993695362662536	0	0	0.388068973118118	0.0144691405156108	"DALRD3;PLXNA3"
"CiliaryGanglion"	"1/278"	0.987566718032264	0.993695362662536	0	0	0.226062652847327	0.00282832001867943	"MAP2K5"
"Placenta"	"2/405"	0.987642095545923	0.993695362662536	0	0	0.309748086760301	0.00385168596830084	"MAN1A2;DVL3"
"Colorectaladenocarcinoma"	"1/292"	0.990047471266083	0.993695362662536	0	0	0.215031592949784	0.00215082904418154	"LSM5"
"TestisIntersitial"	"3/568"	0.993695362662536	0.993695362662536	0	0	0.329686242960579	0.00208513212653751	"CATSPERG;YPEL1;AP2B1"
