"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"WholeBlood"	"11/514"	0.026601101266514	0.653071318521381	0	0	2.02685808227558	7.35101429043103	"TMEM185B;CAPZA2;IFIT5;GNAI3;JMJD1C;MCTP2;GBP1;TOPORS;PNRC1;IFIT2;OASL"
"CD56+ NKCells"	"14/752"	0.0377123839434756	0.653071318521381	0	0	1.76219181704012	5.77605374837094	"SMAD2;DDX58;GNAI3;RCHY1;NRBP1;RSBN1;REXO4;OASL;NMT1;CD2BP2;ESYT1;ZNF688;MAPRE2;BANP"
"721 B lymphoblasts"	"24/1543"	0.0516517837303039	0.653071318521381	0	0	1.47967792576087	4.3846268323846	"SMAD2;PSMD14;DDX47;SAAL1;CNOT10;DICER1;IFIT3;COMMD4;PSMB8;IFIH1;MSH6;POLA2;NME6;CPT2;OAS1;OAS2;MED21;NARS2;NMT1;AGGF1;KPNA4;MNAT1;VPS25;YKT6"
"SubthalamicNucleus"	"3/77"	0.0525069936711004	0.653071318521381	0	0	3.69876126126126	10.8995426239059	"SNPH;DVL3;MAP2K5"
"SkeletalMuscle"	"9/441"	0.0544226098767817	0.653071318521381	0	0	1.91954365079365	5.58774470896675	"PUS3;MAST2;DNAJA2;ZNF614;DICER1;BRCC3;POLRMT;MAP2K5;ZNF7"
"Lymphoma burkitts(Daudi)"	"4/139"	0.0667326009550181	0.667326009550181	0	0	2.70745908699397	7.32925873246514	"OAS2;SAAL1;ISG15;TIMM10"
"CD19+ BCells(neg. sel.)"	"8/412"	0.0842446507644667	0.722097006552572	0	0	1.81849748955938	4.49901771538684	"SF3A1;RRAGC;JMJD1C;BAZ2A;CEPT1;ZNF688;AFF3;REXO4"
"AdrenalCortex"	"3/106"	0.110646090919826	0.829845681898693	0	0	2.65345199568501	5.84135842213068	"FOXK2;LDLR;ZNF75A"
"CardiacMyocytes"	"5/273"	0.180829852777498	0.921381025731272	0	0	1.70116124982564	2.90932380852492	"NFYA;GALNT2;USP22;MDM2;DICER1"
"BronchialEpithelialCells"	"5/280"	0.193906143336224	0.921381025731272	0	0	1.65726423109601	2.71854481338507	"DDX58;FAF2;LDLR;YKT6;FTSJ1"
"pineal night"	"10/674"	0.205903674013218	0.921381025731272	0	0	1.37754366749294	2.17699675630348	"NAPA;TMX4;HACE1;BMPR2;SYNJ1;USP22;WBP4;NR1D2;RGS9;HERC6"
"CD33+ Myeloid"	"10/679"	0.212117314218248	0.921381025731272	0	0	1.36689052431323	2.11952202802574	"TMX4;USP3;OAS3;TSC22D2;JMJD1C;TRIM25;TYK2;TCIRG1;EIF1;MRPL33"
"PrefrontalCortex"	"8/521"	0.213297488275601	0.921381025731272	0	0	1.42405513520505	2.20026120667955	"WNK1;SNPH;WBP4;NMT1;NR1D2;DICER1;ZBTB7A;JAM3"
"CD14+ Monocytes"	"6/383"	0.243819806229936	0.921381025731272	0	0	1.44984495834423	2.0462036327856	"SETDB1;OAS1;ERICH1;USP3;CAPZA2;TCIRG1"
"ParietalLobe"	"1/26"	0.249075108675606	0.921381025731272	0	0	3.62495412844037	5.03868909040865	"MAST2"
"Pons"	"1/27"	0.257308427434236	0.921381025731272	0	0	3.48535638673253	4.73130091480933	"MAST2"
"CD71+ EarlyErythroid"	"8/553"	0.261057957290527	0.921381025731272	0	0	1.33821470498717	1.79723952843203	"NAPA;PSMD9;RMND5A;WNK1;TP53INP2;AP2B1;ZBTB7A;UBXN6"
"CingulateCortex"	"1/33"	0.304854992802724	0.955503129553895	0	0	2.83099197247706	3.36298929128297	"DTNB"
"TemporalLobe"	"1/34"	0.312479398905729	0.955503129553895	0	0	2.7450653322213	3.19310593442687	"ZNF75A"
"OccipitalLobe"	"1/35"	0.320020557448022	0.955503129553895	0	0	2.66419320021587	3.0355019216943	"SYNJ1"
"CiliaryGanglion"	"4/278"	0.362747440100491	0.955503129553895	0	0	1.32452894245459	1.3431365133511	"HACE1;MDM2;ATP11C;MAP2K5"
"Leukemialymphoblastic(MOLT-4)"	"2/118"	0.371240700526921	0.955503129553895	0	0	1.56245034164945	1.5482392905987	"SF3A1;NFYA"
"Testis"	"5/384"	0.411686146938757	0.955503129553895	0	0	1.19608906862624	1.06152187092497	"ZNF473;MAST2;C3ORF62;POLRMT;ZNF410"
