"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"CD14+ Monocytes"	"125/383"	3.16152377661642e-29	2.62406473459163e-27	0	0	3.94231359423461	258.710046604099	"FCN1;CD86;SPI1;NCF2;LST1;IFI30;NADSYN1;LIPA;AP1S2;COTL1;CYP1B1;IL13RA1;SLC11A1;TALDO1;CYBB;CNPY3;DOK2;TYROBP;RAB31;SCO2;XRN2;DPEP2;SLC27A3;CARS2;NAIP;CSF1R;IGSF6;STXBP2;FPR1;CFP;CORO1B;CLEC7A;ALDH3B1;PSAP;HMOX1;CD14;ATG7;CCR1;CD163;CHKB;TNFSF12;HPS1;C20ORF27;PILRA;BST1;COQ2;MAFB;TBXAS1;DMXL2;PPT1;TNFAIP2;SLC2A6;CTSS;HK2;SGSH;HK3;SPTLC2;NKIRAS2;KYNU;DSE;CASP4;EFHD2;ITGAX;GPSM3;MANBA;FCER1G;GAA;TFEB;IRAK3;GMIP;DUSP6;SUMF1;LAT2;FGR;HCK;MS4A6A;PLSCR1;VCAN;SLC7A7;CDC42EP3;PECAM1;CD302;TKT;RHOQ;STK40;CD44;TLR2;GAS7;HBEGF;DNASE1L1;LILRA6;ASAH1;CEBPD;IDUA;FGL2;PARD6G;CAPG;GLRX;AOAH;NOD2;LILRA2;AIF1;STX11;PPM1F;LILRA5;TYMP;PAK1;C15ORF39;RXRA;ALOX5;BID;RNF130;LRRC25;CMTM7;IL10RA;NAGA;MYO9B;LILRB2;LILRB3;CPPED1;FCGR2A;NAGK;IMPDH1;CD68;CPVL"
"CD4+ Tcells"	"153/533"	1.35995127402316e-28	5.64379778719613e-27	0	0	3.29629666426567	211.506657025766	"TRAF3IP3;ZBTB25;WIPF1;DGKA;TRAC;SIRPG;ICAM2;RORA;ETS1;MTRF1;RRN3P1;TRBC1;GPR171;NFATC2IP;TBC1D10C;DIP2A;UBASH3A;ACAD11;NFRKB;CDK5RAP3;VPS39;RNF44;NUP210;IL11RA;SECISBP2;SYTL1;NOSIP;ANXA11;PRPF4B;WDR73;LAX1;RSBN1;CDC25B;GOLGA8B;RNF125;ACAP1;PRPF3;ULK3;ZNF558;CD2BP2;PRKCQ;PTPRCAP;TRIB2;SKAP1;TMEM63A;MAX;TXK;TCF7;XPC;UBR2;PIK3R1;RASGRP2;LY9;GMCL1;STK38;G3BP2;THEM4;PLCG1;NLRP1;ICOS;ARGLU1;SEC31B;ZNF264;STAT5B;NSUN5P1;ATP8B2;BCL11B;CCDC14;SYNRG;CYLD;PTPRC;BCL2;NF1;TUBGCP6;TPP2;CD27;ATM;TAB2;LRCH4;SP140L;IL7R;OGT;DENND1C;PHF3;CREBZF;ZNF251;CELF1;PPWD1;ZNF44;CD3G;CD3E;TAZ;HAPLN3;CD3D;ARHGAP4;SGSH;CASP8;AP1G2;UBE2Q2;ITGB7;DENND2D;BTN3A1;VPS13C;ARAP2;TMC8;MSL3;RHOH;MRPS21;IL16;BTN3A3;TMC6;BTN3A2;RHOF;IRAK4;RBL2;PLSCR3;TBC1D4;LCK;TRAF5;LUC7L3;EVL;ARHGEF1;CHMP7;ARHGEF6;MEGF6;GALT;UHRF2;LEF1;CXCR4;PBXIP1;ADD3;STAMBPL1;SPOCK2;LEPROTL1;SF3B1;APOL3;EIF4B;CYTH1;REPS1;IL32;USP20;TRAT1;CARD8;MGA;WWP1;SPSB3;CD2;PCYOX1L;ERCC5;ESYT1;APBA3;CLEC2D;TRAV8-3"
"CD33+ Myeloid"	"179/679"	2.40756210704948e-28	6.66092182950355e-27	0	0	2.94678643096034	187.397252465584	"FCN1;CD86;TOR2A;CD83;NCF2;DOCK11;ZXDC;AP1S2;COTL1;CYP1B1;IL13RA1;SLC11A1;PRKCD;CYBB;MPEG1;ADAM17;RAB31;TYROBP;SCO2;MFNG;PLBD1;CARS2;STAM2;S100A8;NAIP;NOTCH2;CSF1R;TTYH3;FPR1;LPAR2;CFP;C9ORF72;GNS;CSF2RA;CORO1B;TOR1AIP1;FUT4;CLEC7A;ALDH3B1;PSAP;NLRP3;CD14;NLRP1;ATG7;CCR1;CD163;SLC37A2;EGR2;JUND;CHKB;TNFSF12;C20ORF27;PILRA;LYZ;ARHGAP26;QKI;PARP12;NR4A2;NFKBIA;PTPRE;BST1;COQ2;MAFB;PTPRC;FES;MAFG;CPD;TBXAS1;DMXL2;PPT1;PLXNB2;TPP1;GRB2;ZCCHC4;DOCK5;ITGAM;TNFAIP2;TREM1;CXCL2;FCAR;CTSS;HK2;MRPL33;OSBPL10;SGSH;SCPEP1;HK3;SPTLC2;NKIRAS2;PHACTR2;MFSD1;RRP12;CD36;TMED5;MANBA;USP48;DUSP3;SYK;DUSP1;RIPK2;DIS3;PDPK1;IFNGR2;TOP3A;NBPF10;PLAUR;IRAK3;SERPINB8;DUSP6;CKAP4;SUMF1;FGR;MS4A6A;HCK;PLSCR1;VCAN;SLC7A7;IL1B;CDC42EP3;PECAM1;HCLS1;CD302;TKT;SGK1;TLR4;CD44;GAS7;HBEGF;TLR2;DNASE1L1;LILRA6;SLC24A4;USP15;CEBPD;IDUA;PTAFR;FGL2;ZBTB43;DENND3;CAPG;AOAH;NOD2;LILRA2;SAMHD1;AIF1;PPM1F;STX11;TYMP;C15ORF39;RBM15B;RXRA;NFIL3;CUX1;ALOX5;CREG1;ZSWIM6;RNF130;SH2B3;LRRC25;CMTM7;SEMA4A;RNF24;SLC31A2;CARD8;NAGA;MYO9B;LILRB2;PLXDC2;KLF4;LILRB3;SOD2;CPPED1;MPP7;KLF7;IMPDH1;STK17B;EVI2B;CPVL;MYO1G"
"CD8+ Tcells"	"162/602"	8.89361340812249e-27	1.84542478218542e-25	0	0	3.01664799655321	180.95201341022	"CRTC2;TRAF3IP3;ZBTB25;WIPF1;UXS1;DGKA;TRAC;SIRPG;RORA;CBLB;ETS1;MTRF1;RRN3P1;ZNF83;GPR171;NFATC2IP;NFRKB;CDK5RAP3;GBP5;CD96;DAXX;SNRPN;NUP210;SP110;ENTPD4;IL11RA;SECISBP2;NOSIP;PRPF4B;LAX1;RSBN1;CDC25B;GOLGA8B;RNF125;ACAP1;POLG2;PRKD3;CD8A;PRPF3;ANKRD42;PRKCQ;PTPRCAP;SKAP1;NOTCH2;TMEM63A;KLRB1;MAX;TXK;TCF7;LPAR2;UBR2;PIK3R1;RASGRP2;LY9;STK38;SLAMF6;PLCG1;NLRP1;ST3GAL1;SEC31B;ZNF264;STAT5B;PRPF38B;C11ORF21;NSUN5P1;ATP8B2;BCL11B;CCDC14;SYNRG;SH2D1A;NFATC3;CLK1;CYLD;NACA;CDC16;TUBGCP6;TPP2;CD27;ATM;SP140L;IL7R;OGT;DENND1C;PHF3;CREBZF;SETD2;RBM26;RASGRF2;HEXA;PPWD1;ZNF44;CD3G;CTSW;PCSK7;ITGAL;CD3E;TAZ;MED15;CD3D;ARHGAP4;TCHP;CASP8;AP1G2;PCF11;PSD4;CASP4;UBTF;IKBKE;DENND2D;ITGA4;BTN3A1;VPS13C;ARAP2;MSL3;RHOH;MRPS21;IL16;BTN3A3;TMC6;BTN3A2;PPP2R5C;IRAK4;ARL4C;RBL2;LCK;TRAF5;EVL;ARHGEF1;CHMP7;NDUFB8;UHRF2;CXCR4;PBXIP1;MLLT3;IL2RG;ADD3;TSPAN32;TCOF1;CCL5;SPOCK2;LEPROTL1;SF3B1;ZNF224;APOL3;CYTH1;REPS1;KLRG1;IL32;TTC13;CRBN;USP20;MGA;WWP1;SPSB3;CD2;PCYOX1L;ZNF217;ERCC5;ESYT1;CLEC2D;EIF3A;TRAV8-3"
"WholeBlood"	"143/514"	2.77290177553799e-25	4.60301694739307e-24	0	0	3.14239756716072	177.686031353916	"SPI1;CSF3R;LPGAT1;STEAP4;NCF2;NCF4;AQP9;LST1;PITPNA;UBE2D1;RNF19B;ICAM3;GIMAP4;PRDM2;IFIT2;ARHGDIB;COTL1;PLXNC1;SLC16A3;IL13RA1;ACSL1;SLC11A1;CYBB;THOC5;HLA-E;ADAM17;TYROBP;NINJ1;DPEP2;S100A9;S100A8;PRR13;NSMAF;CDC42SE1;NOTCH2;TMEM185B;IGSF6;MAX;ABHD2;STXBP2;PXN;C5AR1;FPR1;SUPT4H1;LPAR2;UBR2;PIK3R1;CFP;CSF2RA;OAZ2;GMCL1;TOR1AIP1;PGS1;RAP1A;SEC14L1;CLEC7A;STK38;S100A11;SLC19A1;LYN;CCR1;STAT5B;UBE2B;SETD1B;PILRA;ARHGAP26;ARHGAP25;SLC6A6;SELL;CPD;TAB2;LRP10;MXD1;APOBEC3A;SNX10;TREM1;CTSS;SIRPB1;LIMD2;CASP4;EFHD2;ITGAX;GPSM3;CD53;PPP1R12A;IFNGR1;IFNGR2;PLAUR;GMIP;APBB1IP;DNAJC3;HCK;SYF2;RP2;CDC42EP3;IRF2;PECAM1;NUMB;CD302;RBM23;MCTP2;STK40;SELPLG;BCL2A1;PTAFR;PBXIP1;GLRX;NOD2;LILRA2;AIF1;LILRA5;FGD3;OGFRL1;C15ORF39;PAK1;NFIL3;ALOX5;CCL5;BID;GBP2;S1PR4;EGLN1;MAP3K2;SEMA4A;GCA;SLC31A2;MBOAT7;LILRB2;SOD2;TPD52L2;SORL1;MLH3;RNF146;FCGR2A;EVI2A;IMPDH1;CCNG2;STK17B;KBTBD2;ZNF217;FAS;EVI2B;YPEL3"
"CD56+ NKCells"	"172/752"	5.01471361786711e-20	6.93702050471617e-19	0	0	2.42155665024631	107.612344306461	"SPON2;TOR2A;TRAF3IP3;WIPF1;GFI1;ARPC5L;ICAM2;RORA;CBLB;ETS1;PREX1;DOCK11;TBK1;RASSF5;ZXDC;CHCHD7;TBC1D10C;DIP2A;MAP3K8;ZNF688;SNRNP35;GOLGA7;IFNAR2;GBP5;HEMK1;CD96;DAXX;PRKCH;NUP210;STX8;SYTL1;UNC13D;EML2;ATG12;RSBN1;HLA-E;DOK2;BIN2;STIM2;RAB37;MFNG;PSME4;TIPRL;UTS2;SNRNP27;CD2BP2;PRKCQ;TOX;ANKRA2;CGGBP1;MAD1L1;ZNF394;KLRB1;TXK;ATXN7L3B;C9ORF78;VPS26B;PIK3R1;ADRB2;ZMAT2;INPP5D;ZNHIT6;STK38;HMOX1;THEM4;SLAMF6;ZNF783;APOBEC3C;UBE2F;C11ORF21;POLR3GL;PYHIN1;SYNRG;SH2D1A;SIGLEC10;NFATC3;B3GALT4;TBCC;LNPEP;FOXN3;NTAN1;PARP12;PTPRC;UBLCP1;ID2;KLRD1;MXD4;ARHGAP9;GMEB1;PLEKHF1;ITGAM;PLEK;LPCAT1;PTPN22;CTSW;ITGAL;TMEM43;GNLY;UBE2Q2;PSD4;SCRN2;EFHD2;ITGAX;RAC2;ITGB7;HAVCR2;JAK1;DENND2D;PPP1R12A;PARP4;RIPK3;BTN3A1;STARD3NL;NCOA6;FCRL3;ARAP2;SERPINB9;BTN3A3;VPS37B;RHOF;PPP2R5C;JOSD1;RABGGTA;COMMD7;DNAJC3;ARL4C;RBL2;NCR3;RAP2B;RASA3;ARHGEF3;CHST2;STK40;DDX27;CCDC69;AOAH;RCHY1;IL2RG;ADD3;TSPAN32;ADD1;RNF113A;CUX1;CCL5;CCL4;LAIR2;MAPK1;POLR2G;HEATR6;GBP2;S100PBP;CYTH1;TSNAX;TTC13;CRBN;PLEKHA1;AGK;IL10RA;SUSD1;PDE4DIP;PTPN12;SPSB3;RGP1;IL2RB;ERCC5;KRAS;CD247;ESYT1;PTPN4;SMAP1;SLC25A36;MYO1G"
"CD19+ BCells(neg. sel.)"	"85/412"	2.96051629650473e-08	3.51032646585561e-07	0	0	2.06821935009348	35.853238196593	"IGHM;PHTF2;SMARCB1;UBXN1;CD83;ZBTB24;UBE2D2;ATP2A3;PRDM2;TNFRSF13C;RCSD1;COX7C;TOMM20;OSBPL10;LIMD2;YY1;WWC3;TLK1;PHACTR1;CD37;ZNF688;CCR6;HLA-DPA1;MAP4K1;HEMK1;CD52;PPP1R12A;SYK;SP110;FCRL3;SWAP70;RHBDF2;MSL2;TFEB;AMPD3;CGRRF1;MTSS1;ADAM19;TMEM134;NSA2;PRKD3;TRAF5;FRG1;ORAI2;SNRNP27;PRKD2;AIDA;LTB;EAPP;CHMP7;MS4A1;RHOQ;DDX27;C15ORF40;CXCR4;BAZ2A;SAV1;SEL1L3;RASGRP3;RPF1;CD79A;ADAM28;RNF113A;HLA-DMB;INPP5D;LONRF1;IGBP1;JUND;SF3A2;SIGLEC10;PARP12;RPS26;AIMP1;ISG20;TMEM156;CCNG2;BCL2;HLA-DRA;BAX;FXYD5;SP140L;RPS21;OTUD1;GPR18;CD22"
"BDCA4+ DendriticCells"	"89/495"	7.11304915200163e-06	7.3797884952017e-05	0	0	1.73943526895017	20.6185343361807	"SCARB2;IGHM;ATP2A3;N4BP2L1;SMC6;NADSYN1;TNF;SPIB;YY1;SPTLC2;FPGS;NFATC2IP;CD38;PHACTR1;CCDC50;TMED5;HLA-DPA1;IDH3A;IFNAR2;DUSP3;ITGA4;SYK;PDPK1;VPS13C;PRKCD;RHBDF2;NBPF10;DDX51;CNPY3;LIME1;MPEG1;ETV6;DNAJC3;TRAPPC6A;DNAJC7;TBC1D4;CANX;IRF8;NOTCH2;TMEM63A;SELPLG;UNC93B1;RAP1GDS1;UBR2;PSEN1;SAMHD1;CSF2RA;ADD1;HSP90B1;CORO1C;SEL1L3;UGCG;C15ORF39;ZNRF2;GNA15;HLA-DMB;NCLN;AMDHD2;MICAL1;CXCR3;G3BP2;TBC1D14;LPXN;FLNB;BAK1;SLC15A4;SH2B3;LAIR1;LYN;CBX4;CMTM3;ATP13A1;SUSD1;NAGA;LHFPL2;PHC3;PTPRE;CCDC88A;NAGK;HLA-DRA;BAX;TPP1;TACC1;TCF4;LRCH4;OGT;IL18R1;CUL4B;MXD4"
"Thymus"	"21/68"	1.2359427647424e-05	0.000113981388304021	0	0	3.50956076259251	39.6618670005179	"MAST4;PVRIG;GFI1;TRAC;LEF1;SH2D1A;ATP2A3;NFATC3;CD3G;HDAC7;SIT1;LCK;CD8A;TRBC1;PTPN7;ARHGEF7;TOX;SSBP2;ITM2A;ADA;MXD4"
"SmoothMuscle"	"63/363"	0.000399190812084797	0.00331328374030382	0	0	1.65680398370303	12.9662656586032	"CLIC4;GBE1;HDLBP;PLOD1;CXCL2;ICAM1;TUBB6;ALCAM;DSE;RPL38;ITGAV;TIMP1;RPS11;SLC16A3;RIPK2;ACTN1;SPHK1;FNDC3B;PLAUR;ARID5B;WIPI1;PDIA6;CKAP4;MRPL52;ADAM19;RCN1;RAB31;ASPH;IL1B;PLIN3;ADAM9;ITGA5;SEC22B;MTMR2;CUL7;TTYH3;TWF1;RPS27L;PTGS2;HIF1A;THBS1;TMEM165;HSP90B1;DRAM1;ZMAT3;RPL14;CD59;PDLIM5;ST3GAL1;EIF4B;SOCS5;ABCA1;NPM1;GALNT2;BNIP3;TNFRSF10B;LHFPL2;TMCO3;EXT1;MARCKS;RPL27A;TGFBI;ATP13A3"
"Lymphoma burkitts(Raji)"	"59/355"	0.00174946360929762	0.0132004981428821	0	0	1.57009562658004	9.9676673739787	"IGHM;CPM;PRKCSH;LRRK1;PLEK;IFI30;NOC2L;MRPL34;TOMM20;SPIB;FADS3;CASP8;RPS18;SIT1;LONP1;RPL36;SLC16A3;MAP4K1;NUP210;SWAP70;TBC1D2B;AMPD3;PPP2R5C;FGR;CLPP;ORAI2;PPIF;GLCCI1;CD47;DEPDC5;TKT;PFDN4;HM13;LPAR2;BAZ2A;PLA2G6;MRPL12;CD79A;POLD4;SYNGR2;TNFRSF14;WDTC1;ZNF783;CD74;ZBTB17;INTS1;NEK6;ASNS;RFXANK;EEF2;PHC3;NAP1L4;PFKL;TNIP1;RPL27A;CD27;NFKBIE;CD22;EIF3B"
"CD71+ EarlyErythroid"	"84/553"	0.00335174741830656	0.023182919643287	0	0	1.41278070342983	8.05041077547813	"ISCA1;NARF;SRXN1;PPP1R10;ZMYND8;ITSN1;AKAP8L;NUDT1;DCAF8;CPOX;WDR45;DCAF6;PNP;RB1CC1;CCRL2;MYBL2;POLL;CD36;FBXO7;FBXO9;MAP2K3;TPRA1;ABCC5;TALDO1;WIPI1;WIPI2;BPGM;AMPD3;ANK1;KAT2B;PSME4;RAPGEF2;ASF1A;CHST2;HBEGF;PRPS1;USP15;WDR26;GYPC;CDCA4;EPB41;SLC43A1;MOSPD1;UBR2;C9ORF78;ABCB9;CCNDBP1;FOXO3;PPOX;LY9;GSPT1;FAM117A;TRAK2;AGPAT4;LARP1;SEC14L1;RXRA;PDCD10;UCP2;ASCC2;METTL7A;SLC38A5;MPP1;RBM38;SLC14A1;CIZ1;ATAD5;GADD45A;SIAH2;HPS1;FOXJ2;AMMECR1;NTAN1;C6ORF120;SHCBP1;SLC25A37;ABCB10;WNK1;MAFG;MKRN1;RGS10;CHPT1;GCLM;SSBP3"
"Lymphoma burkitts(Daudi)"	"22/139"	0.0675859333100414	0.431510189594879	0	0	1.47176448243115	3.96545658770729	"IGHM;EIF2B3;NPM1;SHMT2;LRRK1;SAAL1;PTPN22;RPS3A;SERPINB9;PPP2R5C;PRDM10;IPO5;ISG20;CASP8;RRS1;RPL14;CD38;SUSD3;RPL26;TK1;RPL29;EIF4B"
"Lung"	"38/299"	0.253944543217507	0.999995018227512	0	0	1.13835636643033	1.56027605245424	"MEGF6;GRN;CEBPD;LTBP4;LRRC32;ETS2;CXCL16;THBD;PDLIM2;GRK5;DDRGK1;ALOX5;C9ORF16;WWC3;PACSIN2;AKT1;CTSH;ACP5;GGT1;CTSD;SLC19A1;SPTBN1;GSN;TPRA1;GPX1;PMM1;DUSP1;GAA;MCOLN1;GCHFR;EHD4;RAB14;BHLHE40;KLF9;LTBR;SLC27A3;MGLL;LGMN"
"pineal day"	"84/694"	0.281828780803572	0.999995018227512	0	0	1.07734588066053	1.36441067275338	"LMBR1L;SLC46A3;SCARB2;ABCD4;BMPR2;CEP164;ROGDI;DCAF8;AQP3;SIRPB1;RABGEF1;LAPTM4B;NPEPPS;SENP5;ZNF83;OSBP;SLC16A6;PLCE1;FBXO3;FAM3A;AP3S2;KIF1B;LRRFIP2;ZNF688;TMEM38B;SKP1;ARHGEF11;GRIPAP1;MREG;COG6;HSBP1;PDE4D;PLA2G4C;VWA5A;VEZF1;AMPD2;ETV3;SSTR2;SUPT7L;NME1;DDB1;RCN2;BIN1;PSME4;MADD;TAX1BP1;TERF2IP;GLCCI1;SH2D2A;PELI2;MTMR9;PLA2G6;RCHY1;GDPD5;LRP8;NR2C1;OAZ2;AP3M2;PURA;RNF170;ATP6V1H;TSPAN3;ATP6V0E2;LONRF1;P4HTM;EIF4E;WDTC1;SOCS5;ZNF585A;CLASP2;ATAD1;SPAG9;FZD3;AGL;ABCA7;PLXDC1;SYNJ1;GIPC1;NBR1;NF1;PLCH2;VPS45;DZIP3;R3HDM2"
